event_id,start_time,end_time,duration_hours,mean_spread,max_spread,min_spread,direction,magnitude_avg,magnitude_max,month,year,hour
259,2022-05-19 14:00:00,2022-05-19 14:00:00,1,-29.850000000000023,29.850000000000023,29.850000000000023,FR > DE,29.850000000000023,29.850000000000023,5,2022,14
261,2022-05-21 00:00:00,2022-05-21 17:00:00,18,-98.6911111111111,170.09,40.329999999999984,FR > DE,98.6911111111111,170.09,5,2022,0
263,2022-05-24 00:00:00,2022-05-24 04:00:00,5,-62.959999999999994,82.91,29.639999999999983,FR > DE,62.959999999999994,82.91,5,2022,0
265,2022-05-24 12:00:00,2022-05-24 14:00:00,3,-50.80666666666667,50.900000000000006,50.69,FR > DE,50.80666666666667,50.900000000000006,5,2022,12
267,2022-05-25 09:00:00,2022-05-25 09:00:00,1,-28.22999999999999,28.22999999999999,28.22999999999999,FR > DE,28.22999999999999,28.22999999999999,5,2022,9
269,2022-05-25 11:00:00,2022-05-25 11:00:00,1,-32.120000000000005,32.120000000000005,32.120000000000005,FR > DE,32.120000000000005,32.120000000000005,5,2022,11
271,2022-05-25 13:00:00,2022-05-25 16:00:00,4,-42.465,53.30000000000001,37.640000000000015,FR > DE,42.465,53.30000000000001,5,2022,13
273,2022-05-26 00:00:00,2022-05-26 20:00:00,21,-104.26190476190476,163.79,31.710000000000008,FR > DE,104.26190476190476,163.79,5,2022,0
275,2022-05-26 22:00:00,2022-05-27 06:00:00,9,-68.25888888888888,97.86,47.77000000000001,FR > DE,68.25888888888888,97.86,5,2022,22
277,2022-05-27 08:00:00,2022-05-28 18:00:00,35,-141.61285714285717,170.13000000000002,64.06,FR > DE,141.61285714285717,170.13000000000002,5,2022,8
279,2022-06-03 09:00:00,2022-06-03 13:00:00,5,-37.93400000000001,55.95000000000002,29.960000000000008,FR > DE,37.93400000000001,55.95000000000002,6,2022,9
281,2022-06-03 22:00:00,2022-06-03 23:00:00,2,-28.039999999999992,28.039999999999992,28.039999999999992,FR > DE,28.039999999999992,28.039999999999992,6,2022,22
283,2022-06-04 11:00:00,2022-06-04 15:00:00,5,-48.79800000000001,75.14,28.700000000000017,FR > DE,48.79800000000001,75.14,6,2022,11
285,2022-06-05 04:00:00,2022-06-05 04:00:00,1,-28.03,28.03,28.03,FR > DE,28.03,28.03,6,2022,4
287,2022-06-05 12:00:00,2022-06-05 14:00:00,3,-44.586666666666666,71.86,28.39999999999999,FR > DE,44.586666666666666,71.86,6,2022,12
289,2022-06-06 00:00:00,2022-06-06 02:00:00,3,-62.64000000000001,64.57999999999998,60.01000000000002,FR > DE,62.64000000000001,64.57999999999998,6,2022,0
291,2022-06-06 07:00:00,2022-06-06 07:00:00,1,-28.3,28.3,28.3,FR > DE,28.3,28.3,6,2022,7
293,2022-06-06 09:00:00,2022-06-06 17:00:00,9,-141.16222222222223,176.34,85.99000000000001,FR > DE,141.16222222222223,176.34,6,2022,9
295,2022-06-07 12:00:00,2022-06-07 12:00:00,1,-27.26000000000002,27.26000000000002,27.26000000000002,FR > DE,27.26000000000002,27.26000000000002,6,2022,12
297,2022-06-10 11:00:00,2022-06-10 14:00:00,4,-32.20249999999999,38.70999999999998,27.830000000000013,FR > DE,32.20249999999999,38.70999999999998,6,2022,11
299,2022-06-11 07:00:00,2022-06-11 17:00:00,11,-95.99545454545455,159.99,35.83000000000001,FR > DE,95.99545454545455,159.99,6,2022,7
