"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|FR","Without Sequence","53.27","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|FR","Without Sequence","13.21","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|FR","Without Sequence","10.44","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|FR","Without Sequence","10.26","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|FR","Without Sequence","4.16","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|FR","Without Sequence","4.16","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|FR","Without Sequence","4.16","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|FR","Without Sequence","10.63","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|FR","Without Sequence","16.47","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|FR","Without Sequence","51.04","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|FR","Without Sequence","83.31","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|FR","Without Sequence","93.99","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|FR","Without Sequence","103.87","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|FR","Without Sequence","101.69","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|FR","Without Sequence","99.00","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|FR","Without Sequence","104.29","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|FR","Without Sequence","97.89","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|FR","Without Sequence","96.20","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|FR","Without Sequence","115.64","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|FR","Without Sequence","122.61","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|FR","Without Sequence","109.66","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|FR","Without Sequence","104.68","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|FR","Without Sequence","98.87","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|FR","Without Sequence","99.35","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|FR","Without Sequence","99.35","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|FR","Without Sequence","75.13","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|FR","Without Sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|FR","Without Sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|FR","Without Sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|FR","Without Sequence","35.94","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|FR","Without Sequence","43.99","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|FR","Without Sequence","85.26","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|FR","Without Sequence","160.32","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|FR","Without Sequence","180.00","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|FR","Without Sequence","177.27","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|FR","Without Sequence","159.56","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|FR","Without Sequence","161.21","",""
"09/01/2023 12:00:00 - 09/01/2023 13:00:00","BZN|FR","Without Sequence","140.56","",""
"09/01/2023 13:00:00 - 09/01/2023 14:00:00","BZN|FR","Without Sequence","135.87","",""
"09/01/2023 14:00:00 - 09/01/2023 15:00:00","BZN|FR","Without Sequence","136.58","",""
"09/01/2023 15:00:00 - 09/01/2023 16:00:00","BZN|FR","Without Sequence","148.50","",""
"09/01/2023 16:00:00 - 09/01/2023 17:00:00","BZN|FR","Without Sequence","161.21","",""
"09/01/2023 17:00:00 - 09/01/2023 18:00:00","BZN|FR","Without Sequence","173.89","",""
"09/01/2023 18:00:00 - 09/01/2023 19:00:00","BZN|FR","Without Sequence","182.18","",""
"09/01/2023 19:00:00 - 09/01/2023 20:00:00","BZN|FR","Without Sequence","171.62","",""
"09/01/2023 20:00:00 - 09/01/2023 21:00:00","BZN|FR","Without Sequence","161.21","",""
"09/01/2023 21:00:00 - 09/01/2023 22:00:00","BZN|FR","Without Sequence","139.16","",""
"09/01/2023 22:00:00 - 09/01/2023 23:00:00","BZN|FR","Without Sequence","132.00","",""
"09/01/2023 23:00:00 - 10/01/2023 00:00:00","BZN|FR","Without Sequence","132.00","",""
"10/01/2023 00:00:00 - 10/01/2023 01:00:00","BZN|FR","Without Sequence","105.98","",""
"10/01/2023 01:00:00 - 10/01/2023 02:00:00","BZN|FR","Without Sequence","96.79","",""
"10/01/2023 02:00:00 - 10/01/2023 03:00:00","BZN|FR","Without Sequence","95.31","",""
"10/01/2023 03:00:00 - 10/01/2023 04:00:00","BZN|FR","Without Sequence","90.19","",""
"10/01/2023 04:00:00 - 10/01/2023 05:00:00","BZN|FR","Without Sequence","95.60","",""
"10/01/2023 05:00:00 - 10/01/2023 06:00:00","BZN|FR","Without Sequence","108.60","",""
"10/01/2023 06:00:00 - 10/01/2023 07:00:00","BZN|FR","Without Sequence","138.84","",""
"10/01/2023 07:00:00 - 10/01/2023 08:00:00","BZN|FR","Without Sequence","157.20","",""
"10/01/2023 08:00:00 - 10/01/2023 09:00:00","BZN|FR","Without Sequence","181.67","",""
"10/01/2023 09:00:00 - 10/01/2023 10:00:00","BZN|FR","Without Sequence","177.94","",""
"10/01/2023 10:00:00 - 10/01/2023 11:00:00","BZN|FR","Without Sequence","158.58","",""
"10/01/2023 11:00:00 - 10/01/2023 12:00:00","BZN|FR","Without Sequence","148.51","",""
"10/01/2023 12:00:00 - 10/01/2023 13:00:00","BZN|FR","Without Sequence","143.13","",""
"10/01/2023 13:00:00 - 10/01/2023 14:00:00","BZN|FR","Without Sequence","143.63","",""
"10/01/2023 14:00:00 - 10/01/2023 15:00:00","BZN|FR","Without Sequence","146.48","",""
"10/01/2023 15:00:00 - 10/01/2023 16:00:00","BZN|FR","Without Sequence","147.50","",""
"10/01/2023 16:00:00 - 10/01/2023 17:00:00","BZN|FR","Without Sequence","143.16","",""
"10/01/2023 17:00:00 - 10/01/2023 18:00:00","BZN|FR","Without Sequence","149.02","",""
"10/01/2023 18:00:00 - 10/01/2023 19:00:00","BZN|FR","Without Sequence","144.74","",""
"10/01/2023 19:00:00 - 10/01/2023 20:00:00","BZN|FR","Without Sequence","141.07","",""
"10/01/2023 20:00:00 - 10/01/2023 21:00:00","BZN|FR","Without Sequence","124.84","",""
"10/01/2023 21:00:00 - 10/01/2023 22:00:00","BZN|FR","Without Sequence","101.90","",""
"10/01/2023 22:00:00 - 10/01/2023 23:00:00","BZN|FR","Without Sequence","85.85","",""
"10/01/2023 23:00:00 - 11/01/2023 00:00:00","BZN|FR","Without Sequence","85.85","",""
